time,concentration_storage1,concentration_storage2,concentration_storage3,connector_1.HQUp.Q,connector_1.flux_q1_s1,connector_1_M_Up,connector_2.HQUp.Q,connector_2.flux_q1_s1,connector_2_M_Up,storage1.MForcing[2],storage1.MForcing[4],storage1.V,storage1_mforcing_ZSF,storage1_qforcing_ZSF,storage1_qforcing_advective,storage2.MForcing[2],storage2.V,storage2_H,storage3.MForcing[2],storage3.MForcing[4],storage3.V,storage3_H,storage3_mforcing_ZSF,storage3_qforcing_ZSF,storage3_qforcing_advective
2013-01-01 00:23:00,0.995072,0.999985,1.004943,0.000000,360.532282,-0.885712,0.000000,362.044443,-0.897445,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:24:00,0.995081,0.999985,1.004934,0.000000,360.233088,-0.883407,0.000000,361.734409,-0.895037,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:25:00,0.995090,0.999985,1.004925,0.000000,359.934434,-0.881110,0.000000,361.425002,-0.892637,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:26:00,0.995098,0.999986,1.004916,0.000000,359.636319,-0.878820,0.000000,361.116220,-0.890246,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:27:00,0.995107,0.999986,1.004907,0.000000,359.338742,-0.876539,0.000000,360.808061,-0.887865,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:28:00,0.995116,0.999986,1.004898,0.000000,359.041703,-0.874265,0.000000,360.500523,-0.885491,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:29:00,0.995125,0.999986,1.004890,0.000000,358.745198,-0.871999,0.000000,360.193605,-0.883127,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:30:00,0.995133,0.999986,1.004881,0.000000,358.449229,-0.869740,0.000000,359.887305,-0.880771,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:31:00,0.995142,0.999986,1.004872,0.000000,358.153793,-0.867489,0.000000,359.581620,-0.878424,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:32:00,0.995151,0.999986,1.004863,0.000000,357.858890,-0.865246,0.000000,359.276549,-0.876086,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:33:00,0.995159,0.999986,1.004854,0.000000,357.564518,-0.863011,0.000000,358.972090,-0.873756,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:34:00,0.995168,0.999986,1.004846,0.000000,357.270676,-0.860783,0.000000,358.668242,-0.871434,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:35:00,0.995176,0.999987,1.004837,0.000000,356.977364,-0.858563,0.000000,358.365002,-0.869121,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:36:00,0.995185,0.999987,1.004828,0.000000,356.684580,-0.856350,0.000000,358.062369,-0.866817,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:37:00,0.995193,0.999987,1.004820,0.000000,356.392322,-0.854145,0.000000,357.760341,-0.864521,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:38:00,0.995202,0.999987,1.004811,0.000000,356.100591,-0.851947,0.000000,357.458916,-0.862233,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:39:00,0.995211,0.999987,1.004803,0.000000,355.809385,-0.849757,0.000000,357.158092,-0.859953,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:40:00,0.995219,0.999987,1.004794,0.000000,355.518702,-0.847574,0.000000,356.857869,-0.857682,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:41:00,0.995227,0.999987,1.004785,0.000000,355.228543,-0.845398,0.000000,356.558243,-0.855419,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:42:00,0.995236,0.999987,1.004777,0.000000,354.938905,-0.843230,0.000000,356.259214,-0.853164,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:43:00,0.995244,0.999987,1.004768,0.000000,354.649787,-0.841069,0.000000,355.960779,-0.850917,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:44:00,0.995253,0.999987,1.004760,0.000000,354.361189,-0.838916,0.000000,355.662936,-0.848679,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:45:00,0.995261,0.999988,1.004751,0.000000,354.073109,-0.836770,0.000000,355.365685,-0.846448,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:46:00,0.995269,0.999988,1.004743,0.000000,353.785547,-0.834631,0.000000,355.069024,-0.844226,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:47:00,0.995278,0.999988,1.004735,0.000000,353.498501,-0.832499,0.000000,354.772950,-0.842011,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:48:00,0.995286,0.999988,1.004726,0.000000,353.211971,-0.830374,0.000000,354.477462,-0.839805,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:49:00,0.995294,0.999988,1.004718,0.000000,352.925954,-0.828257,0.000000,354.182558,-0.837606,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:50:00,0.995303,0.999988,1.004709,0.000000,352.640451,-0.826146,0.000000,353.888237,-0.835416,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:51:00,0.995311,0.999988,1.004701,0.000000,352.355460,-0.824043,0.000000,353.594497,-0.833233,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:52:00,0.995319,0.999988,1.004693,0.000000,352.070979,-0.821947,0.000000,353.301337,-0.831058,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:53:00,0.995327,0.999988,1.004684,0.000000,351.787009,-0.819858,0.000000,353.008754,-0.828891,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:54:00,0.995335,0.999988,1.004676,0.000000,351.503547,-0.817776,0.000000,352.716747,-0.826731,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:55:00,0.995344,0.999988,1.004668,0.000000,351.220593,-0.815700,0.000000,352.425314,-0.824580,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:56:00,0.995352,0.999989,1.004660,0.000000,350.938147,-0.813632,0.000000,352.134455,-0.822435,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:57:00,0.995360,0.999989,1.004652,0.000000,350.656205,-0.811571,0.000000,351.844166,-0.820299,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:58:00,0.995368,0.999989,1.004643,0.000000,350.374769,-0.809517,0.000000,351.554447,-0.818170,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:59:00,0.995376,0.999989,1.004635,0.000000,350.093836,-0.807469,0.000000,351.265296,-0.816049,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:00:00,0.995384,0.999989,1.004627,0.000000,349.813405,-0.805428,0.000000,350.976712,-0.813935,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:01:00,0.995392,0.999989,1.004619,0.000000,349.533571,-0.803394,0.000000,350.688792,-0.811828,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:02:00,0.995400,0.999989,1.004611,0.000000,349.254143,-0.801367,0.000000,350.401335,-0.809729,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:03:00,0.995408,0.999989,1.004603,0.000000,348.975214,-0.799346,0.000000,350.114440,-0.807638,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:04:00,0.995416,0.999989,1.004595,0.000000,348.696783,-0.797333,0.000000,349.828105,-0.805554,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:05:00,0.995424,0.999989,1.004587,0.000000,348.418850,-0.795326,0.000000,349.542329,-0.803478,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:06:00,0.995432,0.999989,1.004579,0.000000,348.141414,-0.793326,0.000000,349.257109,-0.801408,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:07:00,0.995440,0.999990,1.004571,0.000000,347.864472,-0.791332,0.000000,348.972445,-0.799346,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:08:00,0.995448,0.999990,1.004563,0.000000,347.588025,-0.789345,0.000000,348.688335,-0.797292,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:09:00,0.995456,0.999990,1.004555,0.000000,347.312071,-0.787365,0.000000,348.404777,-0.795244,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:10:00,0.995463,0.999990,1.004547,0.000000,347.036610,-0.785391,0.000000,348.121770,-0.793204,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:11:00,0.995471,0.999990,1.004539,0.000000,346.761639,-0.783424,0.000000,347.839312,-0.791171,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:12:00,0.995479,0.999990,1.004531,0.000000,346.487159,-0.781464,0.000000,347.557401,-0.789145,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:13:00,0.995487,0.999990,1.004523,0.000000,346.213168,-0.779509,0.000000,347.276037,-0.787126,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:14:00,0.995495,0.999990,1.004515,0.000000,345.939665,-0.777562,0.000000,346.995218,-0.785115,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:15:00,0.995502,0.999990,1.004507,0.000000,345.666650,-0.775620,0.000000,346.714942,-0.783110,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:16:00,0.995510,0.999990,1.004500,0.000000,345.394120,-0.773686,0.000000,346.435208,-0.781112,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:17:00,0.995518,0.999990,1.004492,0.000000,345.122076,-0.771757,0.000000,346.156014,-0.779121,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:18:00,0.995526,0.999990,1.004484,0.000000,344.850516,-0.769835,0.000000,345.877359,-0.777138,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:19:00,0.995533,0.999990,1.004476,0.000000,344.579438,-0.767919,0.000000,345.599241,-0.775161,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:20:00,0.995541,0.999990,1.004469,0.000000,344.308843,-0.766010,0.000000,345.321659,-0.773191,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:21:00,0.995549,0.999991,1.004461,0.000000,344.038729,-0.764107,0.000000,345.044611,-0.771228,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 01:22:00,0.995556,0.999991,1.004453,0.000000,343.769096,-0.762210,0.000000,344.768097,-0.769271,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
