time,Q_in,Q_turbine
2022-06-24 17:00:00,1.7086384,
2022-06-24 18:00:00,1.7058067,
2022-06-24 19:00:00,1.702975,
2022-06-24 20:00:00,1.7001435,
2022-06-24 21:00:00,1.6973118,
2022-06-24 22:00:00,1.6944801,
2022-06-24 23:00:00,1.6916484,
2022-06-25 00:00:00,1.6888167,
2022-06-25 01:00:00,1.685985,
2022-06-25 02:00:00,1.6831533,
2022-06-25 03:00:00,1.6806048,
2022-06-25 04:00:00,1.6777731,
2022-06-25 05:00:00,1.6749414,
2022-06-25 06:00:00,1.6721097,
2022-06-25 07:00:00,1.669278,
2022-06-25 08:00:00,1.6664463,
2022-06-25 09:00:00,1.6638979,
2022-06-25 10:00:00,1.6610662,
2022-06-25 11:00:00,1.6582345,
2022-06-25 12:00:00,1.6554028,
2022-06-25 13:00:00,1.6528543,
2022-06-25 14:00:00,1.6500226,
2022-06-25 15:00:00,1.647474,
2022-06-25 16:00:00,1.6449256,
2022-06-25 17:00:00,1.6420939,
2022-06-25 18:00:00,1.6395453,
2022-06-25 19:00:00,1.6367136,
2022-06-25 20:00:00,1.6341652,
2022-06-25 21:00:00,1.6313335,
2022-06-25 22:00:00,1.628785,
2022-06-25 23:00:00,1.6262364,
2022-06-26 00:00:00,1.6234047,
2022-06-26 01:00:00,1.6208563,
2022-06-26 02:00:00,1.6180246,
2022-06-26 03:00:00,1.615476,
2022-06-26 04:00:00,1.6129276,
2022-06-26 05:00:00,1.6100959,
2022-06-26 06:00:00,1.6075473,
2022-06-26 07:00:00,1.6049988,
2022-06-26 08:00:00,1.6024503,
2022-06-26 09:00:00,1.5999018,
2022-06-26 10:00:00,1.5970701,
2022-06-26 11:00:00,1.5945215,
2022-06-26 12:00:00,1.5919731,
2022-06-26 13:00:00,1.5894245,
2022-06-26 14:00:00,1.586876,
2022-06-26 15:00:00,1.5843275,
2022-06-26 16:00:00,1.581779,
2022-06-26 17:00:00,1.5792304,
2022-06-26 18:00:00,1.576682,
2022-06-26 19:00:00,1.5741334,
2022-06-26 20:00:00,1.5715849,
2022-06-26 21:00:00,1.5693196,
2022-06-26 22:00:00,1.566771,
2022-06-26 23:00:00,1.5642226,
2022-06-27 00:00:00,1.561674,
2022-06-27 01:00:00,1.5591255,
2022-06-27 02:00:00,1.5568602,
2022-06-27 03:00:00,1.5543116,
2022-06-27 04:00:00,1.5517632,
2022-06-27 05:00:00,1.5494978,
2022-06-27 06:00:00,1.5469493,
